ticker,company_name,quote_type,exchange,exchange_name,currency,country,sector,industry,website,employees,market_cap,first_trade_date,age_years_since_first_trade,business_summary,listing_source,updated_at_utc
0P0000733H.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000738U.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000073DV.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000073MU.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00007524.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000752C.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075A4.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075B1.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075FB.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075FV.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075GQ.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075KH.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075KO.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075MK.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075NL.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075NZ.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075PH.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075Q1.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075R0.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075R6.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075SE.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075T2.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075U8.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075UM.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075UP.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075UQ.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075VF.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075X3.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000075X9.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000760C.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000767H.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00007692.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00007694.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000076N1.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000077FS.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000077P2.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000077R7.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00008207.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00008208.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000820A.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000820C.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000820E.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000083X4.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000083XF.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00008F6T.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00008XK3.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00008XL9.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00008XLH.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00008YEK.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00009AJH.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00009AJI.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00009DEX.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00009XRG.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00009XXZ.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000A2DS.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000A2E5.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000A2WI,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000A412,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000ACFS.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000CNNR,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000G2P5.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000G368.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000I0NZ.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000I3XT.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000IOZ4.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000ITZE.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000ITZL.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000IUYN.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000IUYO.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000J2C7.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000JLED.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000JO4E.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000JO4N.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000JO4O.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000JO4R.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000JPVM.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000JPZQ.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000JU3R.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000JU3U.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000KA0A.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000KWKF.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000M3Z6.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000MOTX.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000MOTY.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000N468.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000N4UY.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000N4V3.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000NA77.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000NFNA.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000NRCC.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000O2XU.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000O6WE,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000O753,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000OMJP.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000OOF8.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000OXA6.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000OXA8.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000PXHH.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000PYZ0.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000Q2WK.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000Q354.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000RX5G,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000S0OB.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000S9O5.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000S9O6.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000S9O7.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
